hip,proper,bayer,ra,dec,mag,con
,Sol,,0.0,0.0,-26.7,
145,,,0.030402,-3.027504,5.13,Psc
154,,,0.032672,-6.014072,4.37,Psc
186,,,0.040046,8.956824,6.33,Psc
194,,,0.041584,8.485463,5.7,Psc
417,,,0.084395,-0.503035,6.32,Psc
443,,,0.088928,-5.707618,4.61,Psc
635,,,0.12892,-2.548679,6.43,Psc
664,,,0.136693,-2.447711,6.18,Psc
813,,,0.167278,11.145813,5.54,Psc
840,,,0.171908,-5.248588,5.84,Psc
1196,,,0.249677,8.820962,6.02,Psc
1319,,,0.276122,8.240154,6.12,Psc
1421,,,0.296583,1.688727,6.19,Psc
1465,,,0.304791,11.206214,6.07,Psc
1645,,,0.343295,8.190271,5.38,Psc
1772,,,0.373745,13.482488,6.25,Psc
1939,,,0.408236,-2.219064,6.08,Psc
1948,,,0.410599,14.315514,6.48,Psc
2006,,,0.423391,1.939692,5.77,Psc
2178,,,0.45863,16.025483,6.44,Psc
2213,,,0.466241,19.514039,6.4,Psc
2219,,,0.467475,17.893125,5.01,Psc
2224,,,0.470195,16.445065,6.05,Psc
2235,,,0.472236,10.189848,6.05,Psc
2548,,,0.539939,6.955463,5.69,Psc
2568,,,0.543189,20.294316,5.38,Psc
2734,,,0.582046,13.371137,6.39,Psc
2832,,,0.598557,13.207067,6.32,Psc
2903,,,0.613142,15.231725,5.89,Psc
2954,,,0.625136,3.135351,6.43,Psc
3093,,,0.656063,21.250472,5.88,Psc
3138,,,0.665436,21.438495,5.36,Psc
3632,,,0.775822,15.475504,5.36,Psc
3675,,,0.783738,11.973849,5.51,Psc
3685,,,0.787118,19.578702,6.11,Psc
3697,,,0.789898,6.740956,5.98,Psc
3760,,,0.804836,7.299928,5.92,Psc
3765,96 G. Psc,,0.806382,5.280615,5.74,Psc
3786,,Del,0.811373,7.585079,4.44,Psc
3810,,,0.816308,16.940644,5.07,Psc
3885,,,0.831433,27.710286,5.55,Psc
